aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
5,520.71,2.38,16.28,130.18,47.68,65.96,72.13,8.36
5,1682.28,7.71,54.84,0.73,21.7,120.95,154.53,27.36
5,1815.8,16.54,49.35,0.17,23.84,133.47,172.63,28.12
5,2296.45,41.57,40.1,0,35.76,150.37,202.15,36.48
5,2189.64,23.92,58.95,0.02,28.13,160.79,205.8,40.53
5,3845.22,57.22,137.09,0,110.63,249.51,322.46,178.34
5,2883.91,27.94,98.71,0.02,84.88,232.03,281.96,96.26
5,1628.88,19.89,40.1,0.02,21.22,106.27,143.12,31.67
5,1735.69,9.28,59.63,0.59,25.99,122.37,163.42,43.06
5,2857.21,34.87,69.92,0,46.25,213.63,276.18,58.77
5,1762.39,6.48,67.17,1.54,28.61,145.72,184.11,38
5,540.73,0,16.79,91.55,21.46,84.27,89.55,3.17
5,1695.63,11.96,40.44,0.2,19.31,129.55,154,9.63
5,3845.22,84.04,54.15,0,53.88,294.44,372,61.81
5,1388.55,2.68,61.01,8.76,16.69,103.12,121.52,19.25
5,2323.15,39.79,46.61,0,22.89,154.42,203.12,24.07
5,807.76,0,28.79,53.64,18.84,82.19,92.38,14.31
5,640.87,0,14.74,72.96,14.19,75.38,85.11,12.16
5,727.65,0,17.82,66.52,14.42,86.72,99.66,14.31
5,654.22,0,14.74,76.53,13.47,79.28,89.38,12.41
4,520.71,0,14.05,59.37,10.49,39.45,47.61,12.29
5,620.84,0,17.31,42.56,10.73,55.16,65.83,13.81
5,961.3,0.41,30.5,13.95,15.14,77.91,96.79,18.75
5,1522.06,16.54,35.64,0.12,17.41,117.6,148.87,23.81
5,2510.07,46.49,45.93,0,23.84,167.85,223.14,37.49
5,1148.22,3.13,38.73,4.78,14.42,108.53,133.88,20.01
5,854.49,0.03,24.68,26.46,14.42,94.91,111.12,16.21
5,3070.83,43.36,127.49,0,82.02,239.23,296.21,143.89
5,574.11,0,21.76,71.53,19.31,68.91,139.67,11.78
5,1041.41,3.13,38.39,4.07,16.93,62.63,101.28,21.53
4,607.49,0,13.88,97.28,17.88,49.41,58.4,11.53
5,527.38,0,11.31,105.86,17.64,56.5,66.35,10.01
5,774.38,0,18.85,57.94,14.42,106.42,121.51,14.95
5,767.71,0,20.05,70.81,16.21,115.08,125.53,13.93
5,667.57,0,16.79,85.12,15.74,94.08,106.82,12.03
5,1081.47,0,22.62,55.08,13.71,192.22,209.49,14.57
5,907.9,0,15.59,89.41,14.9,175.22,188.13,11.27
5,921.25,0,21.08,69.38,14.9,137.8,149.89,12.54
5,1094.82,0.64,39.76,18.42,14.78,79.58,97.67,17.23
5,1388.55,1.43,45.24,6.53,15.74,106.43,130.2,9.37
5,781.06,0,20.22,77.25,16.21,78.96,86.3,11.78
5,934.6,0.29,22.28,13.05,9.42,96.97,113.29,7.54
5,1041.41,0.06,30.5,20.92,12.4,104,116.47,13.17
5,1575.47,10.17,42.5,0.24,16.93,146.97,176.57,19.76
5,847.82,0,20.39,45.78,11.8,81.59,94.46,10.89
